output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o089,https://doi.org/10.5281/zenodo.18187580,Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library (poster),Princeton Prosody Archive,Presentation / Poster,Downloads,150,2026-08-20,ok
o091,https://doi.org/10.5281/zenodo.20044417,Princeton Prosody Archive Found Poems Dataset,Princeton Prosody Archive,Dataset,Views,138,2026-08-20,ok
o091,https://doi.org/10.5281/zenodo.20044417,Princeton Prosody Archive Found Poems Dataset,Princeton Prosody Archive,Dataset,Downloads,125,2026-08-20,ok
o094,https://doi.org/10.5281/zenodo.18623170,"Replication datasets for 'Canon Dynamics in the Princeton Prosody Archive, 1559–1929'",Princeton Prosody Archive,Dataset,Views,70,2026-08-20,ok
o094,https://doi.org/10.5281/zenodo.18623170,"Replication datasets for 'Canon Dynamics in the Princeton Prosody Archive, 1559–1929'",Princeton Prosody Archive,Dataset,Downloads,249,2026-08-20,ok
o058,https://doi.org/10.5281/zenodo.8040362,lenape-timetree,Lunaapahkiing Princeton Timetree,Software Release,Views,116,2026-08-20,ok
o058,https://doi.org/10.5281/zenodo.8040362,lenape-timetree,Lunaapahkiing Princeton Timetree,Software Release,Downloads,17,2026-08-20,ok
o019,https://doi.org/10.5281/zenodo.7347725,geniza,Princeton Geniza Lab,Software Release,Views,85,2026-08-20,ok
o019,https://doi.org/10.5281/zenodo.7347725,geniza,Princeton Geniza Lab,Software Release,Downloads,20,2026-08-20,ok
o020,https://doi.org/10.5281/zenodo.12796543,annotorious-tahqiq,Princeton Geniza Lab,Software Release,Views,91,2026-08-20,ok
o020,https://doi.org/10.5281/zenodo.12796543,annotorious-tahqiq,Princeton Geniza Lab,Software Release,Downloads,15,2026-08-20,ok
o043,https://doi.org/10.5281/zenodo.7841822,"CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022",Princeton Geniza Lab,Grey Literature,Citation Count,1,2026-08-20,ok
o043,https://doi.org/10.5281/zenodo.7841822,"CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022",Princeton Geniza Lab,Grey Literature,Views,290,2026-08-20,ok
o043,https://doi.org/10.5281/zenodo.7841822,"CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022",Princeton Geniza Lab,Grey Literature,Downloads,218,2026-08-20,ok
o044,https://doi.org/10.5281/zenodo.4081714,CDH Project Charter – Princeton Geniza Project 2020-2021,Princeton Geniza Lab,Grey Literature,Citation Count,2,2026-08-20,ok
o044,https://doi.org/10.5281/zenodo.4081714,CDH Project Charter – Princeton Geniza Project 2020-2021,Princeton Geniza Lab,Grey Literature,Views,860,2026-08-20,ok
o044,https://doi.org/10.5281/zenodo.4081714,CDH Project Charter – Princeton Geniza Project 2020-2021,Princeton Geniza Lab,Grey Literature,Downloads,702,2026-08-20,ok
o046,https://geniza.princeton.edu/en/,Princeton Geniza Website,Princeton Geniza Lab,Website,Views,,2026-08-20,manual
o046,https://geniza.princeton.edu/en/,Princeton Geniza Website,Princeton Geniza Lab,Website,Downloads,,2026-08-20,manual
o052,https://doi.org/10.5281/zenodo.15839055,Geniza Datasets,Princeton Geniza Lab,Dataset,Citation Count,1,2026-08-20,ok
o052,https://doi.org/10.5281/zenodo.15839055,Geniza Datasets,Princeton Geniza Lab,Dataset,Views,138,2026-08-20,ok
o052,https://doi.org/10.5281/zenodo.15839055,Geniza Datasets,Princeton Geniza Lab,Dataset,Downloads,57,2026-08-20,ok
o022,https://doi.org/10.34770/yw3y-ze12,Derrida's Margins web archive,Derrida's Margins,WebArchive,Views,,2026-08-20,manual
o022,https://doi.org/10.34770/yw3y-ze12,Derrida's Margins web archive,Derrida's Margins,WebArchive,Downloads,,2026-08-20,manual
o023,https://doi.org/10.34770/8nc6-4418,Derrida's Margins datasets: v1.1,Derrida's Margins,Dataset,Views,,2026-08-20,manual
o023,https://doi.org/10.34770/8nc6-4418,Derrida's Margins datasets: v1.1,Derrida's Margins,Dataset,Downloads,,2026-08-20,manual
o039,https://doi.org/10.5281/zenodo.3359144,CDH Project Charter – Derrida's Margins 2016-17,Derrida's Margins,Grey Literature,Views,709,2026-08-20,ok
o039,https://doi.org/10.5281/zenodo.3359144,CDH Project Charter – Derrida's Margins 2016-17,Derrida's Margins,Grey Literature,Downloads,414,2026-08-20,ok
o041,https://derridas-margins.princeton.edu/,Derrida's Margins website,Derrida's Margins,Website,Views,,2026-08-20,manual
o041,https://derridas-margins.princeton.edu/,Derrida's Margins website,Derrida's Margins,Website,Downloads,,2026-08-20,manual
o040,https://doi.org/10.5281/zenodo.11068867,undate,Undate,Software Release,Citation Count,1,2026-08-20,ok
o040,https://doi.org/10.5281/zenodo.11068867,undate,Undate,Software Release,Views,13,2026-08-20,ok
o040,https://doi.org/10.5281/zenodo.11068867,undate,Undate,Software Release,Downloads,10,2026-08-20,ok
o087,https://doi.org/10.5281/zenodo.17253973,Undate: computing with uncertain and partially-unknown dates,Undate,Presentation / Poster,Views,240,2026-08-20,ok
o087,https://doi.org/10.5281/zenodo.17253973,Undate: computing with uncertain and partially-unknown dates,Undate,Presentation / Poster,Downloads,175,2026-08-20,ok
o009,https://doi.org/10.5281/zenodo.8087661,Simulating Risk Project Charter,Simulating Risks,Grey Literature,Views,449,2026-08-20,ok
o009,https://doi.org/10.5281/zenodo.8087661,Simulating Risk Project Charter,Simulating Risks,Grey Literature,Downloads,340,2026-08-20,ok
o017,https://doi.org/10.5281/zenodo.14516700,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,Views,112,2026-08-20,ok
o017,https://doi.org/10.5281/zenodo.14516700,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,Downloads,170,2026-08-20,ok
o056,https://doi.org/10.5281/zenodo.14516240,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,Views,220,2026-08-20,ok
o056,https://doi.org/10.5281/zenodo.14516240,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,Downloads,321,2026-08-20,ok
o018,https://zenodo.org/records/17633794,djiffy,Research Software,Software Release,Views,88,2026-08-20,ok
o018,https://zenodo.org/records/17633794,djiffy,Research Software,Software Release,Downloads,18,2026-08-20,ok
o054,https://doi.org/10.5281/zenodo.13256210,piffle,Research Software,Software Release,Views,71,2026-08-20,ok
o054,https://doi.org/10.5281/zenodo.13256210,piffle,Research Software,Software Release,Downloads,8,2026-08-20,ok
o057,https://doi.org/10.5281/zenodo.13905619,django-pucas,Research Software,Software Release,Views,34,2026-08-20,ok
o057,https://doi.org/10.5281/zenodo.13905619,django-pucas,Research Software,Software Release,Downloads,5,2026-08-20,ok
o042,https://doi.org/10.5281/zenodo.3359202,"""Built by CDH"" Long Term Software Agreement",Digital Humanities Processes and Practices,Grey Literature,Views,332,2026-08-20,ok
o042,https://doi.org/10.5281/zenodo.3359202,"""Built by CDH"" Long Term Software Agreement",Digital Humanities Processes and Practices,Grey Literature,Downloads,173,2026-08-20,ok
o047,https://doi.org/10.5281/zenodo.14907039,Project Management 101,Digital Humanities Processes and Practices,Presentation / Poster,Views,199,2026-08-20,ok
o047,https://doi.org/10.5281/zenodo.14907039,Project Management 101,Digital Humanities Processes and Practices,Presentation / Poster,Downloads,586,2026-08-20,ok
o055,https://doi.org/10.5281/zenodo.14516760,Modeling Project Management through Charters,Digital Humanities Processes and Practices,Presentation / Poster,Views,123,2026-08-20,ok
o055,https://doi.org/10.5281/zenodo.14516760,Modeling Project Management through Charters,Digital Humanities Processes and Practices,Presentation / Poster,Downloads,560,2026-08-20,ok
