Task,Status,Assignee,Output Type,Link,Daily time required,Start,Deadline,Completed,Project,Project Status (from Project),Type,Availability,Predecessors,Additional Versions,DOI,DOI Service,Range,Photo (from Assignee),Is Overdue,Is Complete,Description,Order,Access_Metrics,Access_Metrics 2
"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset",Done,"Rebecca Koeser,Nick Budak,Jean Bauer",,https://doi.org/10.5281/zenodo.6909568,,,,4/20/2023,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Completed Projects,Dataset,,,,10.5281/zenodo.6909568,Zenodo,#ERROR!,,,Yes,,b1s,,"58,90,102,109"
CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,Done,"Wendy Belcher,Meredith Martin,Rebecca Koeser,Rebecca Munson,Gissoo Doroudian",,https://doi.org/10.5281/zenodo.3359177,,,,8/2/2019,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Completed Projects,Grey Literature,,,,10.5281/zenodo.3359177,Zenodo,#ERROR!,,,Yes,,b1t,,"59,91,123,124"
Dissertation to Book,To do,Mary Naydan,,,,,,,R&D,CDH Research,,,,,,,#ERROR!,,Yes,,,b2E,,
ISFDB Dataset,In progress,Laure Thompson,,,,,,,R&D,CDH Research,,,,,,,#ERROR!,,Yes,,,b29,,
Of Time and Topics (Books),In progress,Jeri Wieringa,,,,,,,R&D,CDH Research,,,,,,,#ERROR!,,Yes,,,b2D,,
Undate Software Paper,Done,Rebecca Koeser,,,,1/1/2025,7/3/2025,,R&D,CDH Research,Publication,,,,,,01-01 → 07-03,,,Yes,,b1E,,
Undate in Action presentation,Done,Rebecca Koeser,,,,,7/18/2025,,R&D,CDH Research,,,,,,,#ERROR!,,,Yes,,b2C,,
Community Code Review in the Digital Humanities,Done,Rebecca Koeser,Tier 3 Staff Publication,https://doi.org/10.5281/zenodo.17315400,,,,10/10/2025,R&D,CDH Research,,,,,10.5281/zenodo.17315400,,#ERROR!,,,Yes,,b2H,,
Undate: computing with uncertain and partially-unknown dates,Done,Rebecca Koeser,Tier 3 Staff Publication,https://doi.org/10.5281/zenodo.17253973,,,,10/3/2025,R&D,CDH Research,Presentation / Poster,,,,10.5281/zenodo.17253973,,#ERROR!,,,Yes,,b2I,,
undate,Released,Rebecca Koeser,,https://doi.org/10.5281/zenodo.11068867,,,,4/25/2024,R&D,CDH Research,Software Release,,,,10.5281/zenodo.11068867,Zenodo,#ERROR!,,Yes,Yes,,b1V,,"60,92,180,188"
CHR Lightning Talk,Submitted,Hao Tan,,,,,,,R&D,CDH Research,,,,,,,#ERROR!,,Yes,,,b2A,,
CHR Lightning Talk ,Submitted,Laure Thompson,,,,,,,R&D,CDH Research,,,,,,,#ERROR!,,Yes,,,b2B,,
Simulation (Technical) Paper,To do,Rebecca Koeser,,,,,,,Simulating Risks,Active Collaboration,Publication,,,,,,#ERROR!,,Yes,,,b1r,,
Scholarly article (Philosophy) for publications,In progress,Lara Buchak,,,,6/5/2023,,,Simulating Risks,Active Collaboration,Publication,,,,,,#ERROR!,,Yes,,,b1L,,
DH article on modeling - Debates in DH piece,In progress,"Jeri Wieringa,Rebecca Koeser",,,,6/15/2025,10/31/2025,,Simulating Risks,Active Collaboration,Publication,,,,,,06-15 → 10-31,,Yes,,,b1M,,
Simulating Risk Project Charter,Done,Rebecca Koeser,,https://doi.org/10.5281/zenodo.8087661,,,,7/19/2022,Simulating Risks,Active Collaboration,Grey Literature,,,,10.5281/zenodo.8087661,Zenodo,#ERROR!,,,Yes,,b0k,,"62,93,132,134"
Simulating risk attitudes and rationality using agent-based modeling,Done,Rebecca Koeser,,https://doi.org/10.5281/zenodo.14516700,,,,8/5/2024,Simulating Risks,Active Collaboration,Presentation / Poster,,,,10.5281/zenodo.14516700,Zenodo,#ERROR!,,,Yes,,b0v,,"63,94,152,153"
Theorizing risk attitudes and rationality using agent based modeling,Done,"Rebecca Koeser,Lara Buchak",,https://doi.org/10.5281/zenodo.14516240,,,,8/7/2024,Simulating Risks,Active Collaboration,Presentation / Poster,,,,10.5281/zenodo.14516240,Zenodo,#ERROR!,,,Yes,,b1l,,"64,95,143,144"
